"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Tax status","In stock?","Stock","Backorders allowed?","Sold individually?","Regular price","Sale price","Categories","Tags","Brands","Images","Parent","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
"","variable","ABC-241571","Red Textured Leather Belt with Gold-Tone Buckle and Logo Detail","1","0","visible","KURT GEIGER — Red Textured Leather Belt with Gold-Tone Buckle and Logo Detail. Available in Red.","KURT GEIGER — Red Textured Leather Belt with Gold-Tone Buckle and Logo Detail. Available in Red.","taxable","1","","0","0","","","Women > Accessories > Belts","KURT GEIGER, women-accessories-belts","KURT GEIGER","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eab796dd24.opt.webp?id=2301837, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab8343d6e.opt.webp?id=2301838, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab84e1853.opt.webp?id=2301839, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab8682a02.opt.webp?id=2301840","","Color","Red","1","0","Size","SM, ML","1","0"
"","variation","65130410","Red Textured Leather Belt with Gold-Tone Buckle and Logo Detail","1","","visible","","","taxable","1","4","","","79","","","","","","ABC-241571","Color","Red","","0","Size","SM","","0"
"","variation","65130411","Red Textured Leather Belt with Gold-Tone Buckle and Logo Detail","1","","visible","","","taxable","1","2","","","79","","","","","","ABC-241571","Color","Red","","0","Size","ML","","0"
"","variable","ABC-241569","Brown Suede Waist Belt with Studded Buckle and Logo Detail","1","0","visible","KURT GEIGER — Brown Suede Waist Belt with Studded Buckle and Logo Detail. Available in Brown.","KURT GEIGER — Brown Suede Waist Belt with Studded Buckle and Logo Detail. Available in Brown.","taxable","1","","0","0","","","Women > Accessories > Belts","KURT GEIGER, women-accessories-belts","KURT GEIGER","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eab46a07b1.opt.webp?id=2301833, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab50c336e.opt.webp?id=2301834, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab5270e3e.opt.webp?id=2301835, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab53f0fc6.opt.webp?id=2301836","","Color","Brown","1","0","Size","SM, ML","1","0"
"","variation","65130418","Brown Suede Waist Belt with Studded Buckle and Logo Detail","1","","visible","","","taxable","1","6","","","109","","","","","","ABC-241569","Color","Brown","","0","Size","SM","","0"
"","variation","65130419","Brown Suede Waist Belt with Studded Buckle and Logo Detail","1","","visible","","","taxable","1","4","","","109","","","","","","ABC-241569","Color","Brown","","0","Size","ML","","0"
"","variable","ABC-241567","Tan Suede Belt with Quilted Stitching and Gold-Tone Buckle","1","0","visible","KURT GEIGER — Tan Suede Belt with Quilted Stitching and Gold-Tone Buckle. Available in Camel.","KURT GEIGER — Tan Suede Belt with Quilted Stitching and Gold-Tone Buckle. Available in Camel.","taxable","1","","0","0","","","Women > Accessories > Belts","KURT GEIGER, women-accessories-belts","KURT GEIGER","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eab1d7072d.opt.webp?id=2301829, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab25e94bd.opt.webp?id=2301830, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab27b7ddc.opt.webp?id=2301831, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab29748ef.opt.webp?id=2301832","","Color","Camel","1","0","Size","SM, ML","1","0"
"","variation","65130406","Tan Suede Belt with Quilted Stitching and Gold-Tone Buckle","1","","visible","","","taxable","1","5","","","94","","","","","","ABC-241567","Color","Camel","","0","Size","SM","","0"
"","variation","65130407","Tan Suede Belt with Quilted Stitching and Gold-Tone Buckle","1","","visible","","","taxable","1","4","","","94","","","","","","ABC-241567","Color","Camel","","0","Size","ML","","0"
"","variable","ABC-241565","Brown Suede Belt with Quilted Stitching and Gold-Tone Buckle","1","0","visible","KURT GEIGER — Brown Suede Belt with Quilted Stitching and Gold-Tone Buckle. Available in Brown.","KURT GEIGER — Brown Suede Belt with Quilted Stitching and Gold-Tone Buckle. Available in Brown.","taxable","1","","0","0","","","Women > Accessories > Belts","KURT GEIGER, women-accessories-belts","KURT GEIGER","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9ea997de300.opt.webp?id=2301825, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea99fdfb8e.opt.webp?id=2301826, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea9a196dd4.opt.webp?id=2301827, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea9a363d85.opt.webp?id=2301828","","Color","Brown","1","0","Size","SM, ML","1","0"
"","variation","65130404","Brown Suede Belt with Quilted Stitching and Gold-Tone Buckle","1","","visible","","","taxable","1","6","","","94","","","","","","ABC-241565","Color","Brown","","0","Size","SM","","0"
"","variation","65130405","Brown Suede Belt with Quilted Stitching and Gold-Tone Buckle","1","","visible","","","taxable","1","4","","","94","","","","","","ABC-241565","Color","Brown","","0","Size","ML","","0"
"","variable","ABC-241563","Houndstooth Crystal-Embellished Belt with Gold-Tone Logo Buckle","1","0","visible","KURT GEIGER — Houndstooth Crystal-Embellished Belt with Gold-Tone Logo Buckle. Available in Gold.","KURT GEIGER — Houndstooth Crystal-Embellished Belt with Gold-Tone Logo Buckle. Available in Gold.","taxable","1","","0","0","","","Women > Accessories > Belts","KURT GEIGER, women-accessories-belts","KURT GEIGER","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9ea95ed6f46.opt.webp?id=2301819, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea968e3ec3.opt.webp?id=2301820, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea96adb8ef.opt.webp?id=2301821, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea96d08e39.opt.webp?id=2301822, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea96e6efe1.opt.webp?id=2301823, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea970a4414.webp?id=2301824","","Color","Gold","1","0","Size","SM, ML","1","0"
"","variation","65130400","Houndstooth Crystal-Embellished Belt with Gold-Tone Logo Buckle","1","","visible","","","taxable","1","6","","","109","","","","","","ABC-241563","Color","Gold","","0","Size","SM","","0"
"","variation","65130401","Houndstooth Crystal-Embellished Belt with Gold-Tone Logo Buckle","1","","visible","","","taxable","1","4","","","109","","","","","","ABC-241563","Color","Gold","","0","Size","ML","","0"
"","variable","ABC-241561","Leather Belt with Green Piping and Crystal-Embellished Buckle","1","0","visible","KURT GEIGER — Leather Belt with Green Piping and Crystal-Embellished Buckle. Available in Beige.","KURT GEIGER — Leather Belt with Green Piping and Crystal-Embellished Buckle. Available in Beige.","taxable","1","","0","0","","","Women > Accessories > Belts","KURT GEIGER, women-accessories-belts","KURT GEIGER","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9ea91f655fa.opt.webp?id=2301815, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea927d0f0c.opt.webp?id=2301816, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea92989fda.opt.webp?id=2301817, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea92b42ef3.opt.webp?id=2301818","","Color","Beige","1","0","Size","SM, ML","1","0"
"","variation","65130398","Leather Belt with Green Piping and Crystal-Embellished Buckle","1","","visible","","","taxable","1","4","","","94","","","","","","ABC-241561","Color","Beige","","0","Size","SM","","0"
"","variation","65130399","Leather Belt with Green Piping and Crystal-Embellished Buckle","1","","visible","","","taxable","1","2","","","94","","","","","","ABC-241561","Color","Beige","","0","Size","ML","","0"
"","variable","ABC-241392","Studded Leather Belt with Antique Silver Buckle","1","0","visible","FREE PEOPLE — Studded Leather Belt with Antique Silver Buckle. Available in Cognac, Black.","FREE PEOPLE — Studded Leather Belt with Antique Silver Buckle. Available in Cognac, Black.","taxable","1","","0","0","","","Women > Accessories > Belts","FREE PEOPLE, women-accessories-belts","FREE PEOPLE","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9e7492808f7.webp?id=2301439, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9e749840e69.webp?id=2301440, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9e749931bb8.webp?id=2301441","","Color","Cognac, Black","1","0","Size","ML, SM, XSS","1","0"
"","variation","65163190","Studded Leather Belt with Antique Silver Buckle","1","","visible","","","taxable","1","2","","","89","","","","","","ABC-241392","Color","Cognac","","0","Size","ML","","0"
"","variation","65163191","Studded Leather Belt with Antique Silver Buckle","1","","visible","","","taxable","1","3","","","89","","","","","","ABC-241392","Color","Cognac","","0","Size","SM","","0"
"","variation","65163192","Studded Leather Belt with Antique Silver Buckle","1","","visible","","","taxable","1","1","","","89","","","","","","ABC-241392","Color","Cognac","","0","Size","XSS","","0"
"","variation","65163187","Studded Leather Belt with Antique Silver Buckle","1","","visible","","","taxable","0","0","","","89","","","","","","ABC-241392","Color","Black","","0","Size","ML","","0"
"","variation","65163188","Studded Leather Belt with Antique Silver Buckle","1","","visible","","","taxable","0","0","","","89","","","","","","ABC-241392","Color","Black","","0","Size","SM","","0"
"","variation","65163189","Studded Leather Belt with Antique Silver Buckle","1","","visible","","","taxable","0","0","","","89","","","","","","ABC-241392","Color","Black","","0","Size","XSS","","0"
"","variable","ABC-240537","Vegetable-Tanned Leather Charm Belt","1","0","visible","Thin vegetable-tanned leather belt with buckle and charms

- Thin belt
- Vegetable-tanned leather
- Metal buckle
- Decorative charms","Thin vegetable-tanned leather belt with buckle and charms

- Thin belt
- Vegetable-tanned leather
- Metal buckle
- Decorative charms","taxable","1","","0","0","","","Women > Accessories > Belts","CLAUDIE, women-accessories-belts","CLAUDIE","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a86c2c138435.opt.webp?id=2300734, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a86c2cdd7569.opt.webp?id=2300735, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a86c2cf98dcc.opt.webp?id=2300736","","Color","Camel","1","0","Size","1, 2, 3","1","0"
"","variation","65161637","Vegetable-Tanned Leather Charm Belt","1","","visible","","","taxable","1","1","","","159","","","","","","ABC-240537","Color","Camel","","0","Size","1","","0"
"","variation","65161638","Vegetable-Tanned Leather Charm Belt","1","","visible","","","taxable","1","3","","","159","","","","","","ABC-240537","Color","Camel","","0","Size","2","","0"
"","variation","65161639","Vegetable-Tanned Leather Charm Belt","1","","visible","","","taxable","1","2","","","159","","","","","","ABC-240537","Color","Camel","","0","Size","3","","0"
"","simple","65155552","Charm Keyring with Flowers","1","0","visible","Keyring with pendant charm consisting of two leaves and four blooming flowers, made from coated faux leather fabric and finished with a metal plaque featuring the Love Birds. This charm keyring also features a small clasp, allowing you to use it to personalise your favourite bag and make it even more special.","Keyring with pendant charm consisting of two leaves and four blooming flowers, made from coated faux leather fabric and finished with a metal plaque featuring the Love Birds. This charm keyring also features a small clasp, allowing you to use it to personalise your favourite bag and make it even more special.","taxable","1","6","0","0","104","","Women > Accessories > Faux Bijoux","PINKO, women-accessories-faux-bijoux","PINKO","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7edb884f842.opt.webp?id=2271308, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7edb9267a83.opt.webp?id=2271309","","Color","Burgundy","1","0","Size","OS","1","0"
"","simple","65154999","Keyring Charm with Bird and Rhinestones","1","0","visible","Bird-shaped keyring accessory embellished with tone-on-tone rhinestones all over and featuring a small ring with the iconic Love Birds logo—a hallmark of PINKO's DNA. This charm keyring also features a small clasp, allowing you to use it to personalise your favourite bag and make it even more special.","Bird-shaped keyring accessory embellished with tone-on-tone rhinestones all over and featuring a small ring with the iconic Love Birds logo—a hallmark of PINKO's DNA. This charm keyring also features a small clasp, allowing you to use it to personalise your favourite bag and make it even more special.","taxable","1","3","0","0","84","","Women > Accessories > Faux Bijoux","PINKO, women-accessories-faux-bijoux","PINKO","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7ee474a6117.webp","","Color","Black","1","0","Size","OS","1","0"
"","simple","65155003","Keyring Charm with Heart and Studs","1","0","visible","Keyring with small ring featuring the iconic Love Birds and two charms: a love heart in coated leather-effect fabric dotted with studs around the edge and embellished with metal PINKO logo lettering in the centre, and a tassel with long fringes, also made from coated leather-effect fabric and embellished with studs. This charm keyring also features a small clasp, allowing you to use it to personalise your favourite bag and make it even more special.","Keyring with small ring featuring the iconic Love Birds and two charms: a love heart in coated leather-effect fabric dotted with studs around the edge and embellished with metal PINKO logo lettering in the centre, and a tassel with long fringes, also made from coated leather-effect fabric and embellished with studs. This charm keyring also features a small clasp, allowing you to use it to personalise your favourite bag and make it even more special.","taxable","1","3","0","0","69","","Women > Accessories > Faux Bijoux","PINKO, women-accessories-faux-bijoux","PINKO","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7eec69dcc64.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7eec75cbc39.webp","","Color","Black Gold","1","0","Size","OS","1","0"
"","simple","65155608","Jewel Brooch with Two Chains and Charm","1","0","visible","Brooch with two fine-link chains and classic safety-cap fastening. The outermost chain is embellished with a safety pin-shaped element, two small conical charms, a pendant with LOVE lettering, a set gemstone and the iconic Love Birds logo embellished with rhinestones. Pin this brooch on a jacket or dress for an original touch, or use it to elevate a bag or backpack with that signature PINKO style.","Brooch with two fine-link chains and classic safety-cap fastening. The outermost chain is embellished with a safety pin-shaped element, two small conical charms, a pendant with LOVE lettering, a set gemstone and the iconic Love Birds logo embellished with rhinestones. Pin this brooch on a jacket or dress for an original touch, or use it to elevate a bag or backpack with that signature PINKO style.","taxable","1","2","0","0","84","","Women > Accessories > Faux Bijoux","PINKO, women-accessories-faux-bijoux","PINKO","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7eeda9bb1e2.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7eedb008838.webp","","Color","Gold","1","0","Size","OS","1","0"
"","variable","ABC-212102","Python-Print Leather Belt with Studs 3 cm","1","0","visible","Women's 3 cm-wide belt in leather with bold all-over python print. This model is embellished with a row of faceted, gold-tone rectangular studs, and a metal buckle, loop and tip in the same style as the studs. An edgy, modern accessory, this one will win over animal-print lovers and more the moment they see it","Women's 3 cm-wide belt in leather with bold all-over python print. This model is embellished with a row of faceted, gold-tone rectangular studs, and a metal buckle, loop and tip in the same style as the studs. An edgy, modern accessory, this one will win over animal-print lovers and more the moment they see it","taxable","1","","0","0","","","Women > Accessories > Belts","PINKO, women-accessories-belts","PINKO","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a82a43808baf.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a82a44071a26.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a82a44291341.opt.webp","","Color","Brown","1","0","Size","MEDIUM, SMALL, XSMALL","1","0"
"","variation","65154993","Python-Print Leather Belt with Studs 3 cm","1","","visible","","","taxable","1","2","","","299","","","","","","ABC-212102","Color","Brown","","0","Size","MEDIUM","","0"
"","variation","65154994","Python-Print Leather Belt with Studs 3 cm","1","","visible","","","taxable","1","2","","","299","","","","","","ABC-212102","Color","Brown","","0","Size","SMALL","","0"
"","variation","65154995","Python-Print Leather Belt with Studs 3 cm","1","","visible","","","taxable","1","2","","","299","","","","","","ABC-212102","Color","Brown","","0","Size","XSMALL","","0"
"","variable","ABC-212099","Leather Belt with Rectangular Studs 3 cm","1","0","visible","Women's 3 cm-wide belt in soft, silky leather. This accessory is embellished with a row of faceted rectangular studs, and a metal buckle, loop and tip in the same style as the studs. Thanks to its bold, modern design, the belt will become a go-to accessory for everyday outfits.","Women's 3 cm-wide belt in soft, silky leather. This accessory is embellished with a row of faceted rectangular studs, and a metal buckle, loop and tip in the same style as the studs. Thanks to its bold, modern design, the belt will become a go-to accessory for everyday outfits.","taxable","1","","0","0","","","Women > Accessories > Belts","PINKO, women-accessories-belts","PINKO","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a82a4648252c.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a82a46ded9bf.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a82a46ce27ed.webp","","Color","Black","1","0","Size","MEDIUM, SMALL, XSMALL","1","0"
"","variation","65155692","Leather Belt with Rectangular Studs 3 cm","1","","visible","","","taxable","1","1","","","259","","","","","","ABC-212099","Color","Black","","0","Size","MEDIUM","","0"
"","variation","65155693","Leather Belt with Rectangular Studs 3 cm","1","","visible","","","taxable","1","1","","","259","","","","","","ABC-212099","Color","Black","","0","Size","SMALL","","0"
"","variation","65155694","Leather Belt with Rectangular Studs 3 cm","1","","visible","","","taxable","1","1","","","259","","","","","","ABC-212099","Color","Black","","0","Size","XSMALL","","0"
"","variable","ABC-212085","Belt with Chain Insert 1.5 cm","1","0","visible","1.5 cm-wide belt in smooth leather with tonal loop and gold-tone buckle. This accessory stands out for its chain insert—also gold-tone—consisting of slightly square-shaped rings. We all know that details are what make the difference: choose this belt to give your casual looks an original touch.","1.5 cm-wide belt in smooth leather with tonal loop and gold-tone buckle. This accessory stands out for its chain insert—also gold-tone—consisting of slightly square-shaped rings. We all know that details are what make the difference: choose this belt to give your casual looks an original touch.","taxable","1","","0","0","","","Women > Accessories > Belts","PINKO, women-accessories-belts","PINKO","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a82a9ee4da94.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a82a9f57bf94.opt.webp","","Color","Black Gold","1","0","Size","MEDIUM, SMALL, XSMALL","1","0"
"","variation","65155000","Belt with Chain Insert 1.5 cm","1","","visible","","","taxable","1","3","","","179","","","","","","ABC-212085","Color","Black Gold","","0","Size","MEDIUM","","0"
"","variation","65155001","Belt with Chain Insert 1.5 cm","1","","visible","","","taxable","1","3","","","179","","","","","","ABC-212085","Color","Black Gold","","0","Size","SMALL","","0"
"","variation","65155002","Belt with Chain Insert 1.5 cm","1","","visible","","","taxable","1","3","","","179","","","","","","ABC-212085","Color","Black Gold","","0","Size","XSMALL","","0"
"","simple","65155504","Check-Pattern Frayed Scarf","1","0","visible","PINKO — Check-Pattern Frayed Scarf. Available in Redblck.","PINKO — Check-Pattern Frayed Scarf. Available in Redblck.","taxable","1","2","0","0","219","","Women > Accessories > Gloves & Scarves","PINKO, women-accessories-gloves-and-scarves","PINKO","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9694fe8f019.webp?id=2301109","","Color","Redblck","1","0","Size","OS","1","0"
"","simple","65155506","Soft Silk Scarf with Bag Print","1","0","visible","Scarf made from soft silk-blend twill. This model is embellished with an all-over print featuring various PINKO bags, in a refined nod to the world of leather goods, and is complete with contrasting edges and the brand's logo lettering in the corner. An original and feminine accessory, perfect for giving your outfits a PINKO-signature finishing touch","Scarf made from soft silk-blend twill. This model is embellished with an all-over print featuring various PINKO bags, in a refined nod to the world of leather goods, and is complete with contrasting edges and the brand's logo lettering in the corner. An original and feminine accessory, perfect for giving your outfits a PINKO-signature finishing touch","taxable","1","2","0","0","169","","Women > Accessories > Gloves & Scarves","PINKO, women-accessories-gloves-and-scarves","PINKO","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7f02e9df498.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7f02fbe01b7.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7f02fe87014.opt.webp","","Color","Blackblue","1","0","Size","OS","1","0"
"","simple","65155505","Scarf with Tassel Tips and Bird Pattern","1","0","visible","Scarf featuring an all-over signature Love Birds pattern and fringed or frayed edges","Scarf featuring an all-over signature Love Birds pattern and fringed or frayed edges","taxable","1","2","0","0","224","","Women > Accessories > Gloves & Scarves","PINKO, women-accessories-gloves-and-scarves","PINKO","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7f0265e1c20.opt.webp?id=2271626, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7f026ce3f71.opt.webp?id=2271627","","Color","Dk Red","1","0","Size","OS","1","0"
"","variable","ABC-211963","Slim Belt with Iconic Love Birds Motif","1","0","visible","Elevate your everyday wardrobe with the timeless elegance of the PINKO Love Berry Leather Belt. Crafted from premium, smooth genuine leather in a rich burgundy hue, this slim waist accessory brings an understated touch of luxury to both casual denim and tailored silhouettes. The centerpiece features the iconic, gold-tone Love Birds plaque buckle, acting as a signature hallmark of sophisticated Italian style. Punched holes ensure a highly customizable, comfortable fit","Elevate your everyday wardrobe with the timeless elegance of the PINKO Love Berry Leather Belt. Crafted from premium, smooth genuine leather in a rich burgundy hue, this slim waist accessory brings an understated touch of luxury to both casual denim and tailored silhouettes. The centerpiece features the iconic, gold-tone Love Birds plaque buckle, acting as a signature hallmark of sophisticated Italian style. Punched holes ensure a highly customizable, comfortable fit","taxable","1","","0","0","","","Women > Accessories > Belts","PINKO, women-accessories-belts","PINKO","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7efa22a8970.opt.webp?id=2271504, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7efa3f0288c.opt.webp?id=2271508, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7efa3a7af73.opt.webp?id=2271506, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7efa38328a8.opt.webp?id=2271505, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7efa3ca0835.opt.webp?id=2271507","","Color","Brown Antique Gold","1","0","Size","MEDIUM, SMALL, XSMALL","1","0"
"","variation","65154987","Slim Belt with Iconic Love Birds Motif","1","","visible","","","taxable","1","1","","","154","","","","","","ABC-211963","Color","Brown Antique Gold","","0","Size","MEDIUM","","0"
"","variation","65154988","Slim Belt with Iconic Love Birds Motif","1","","visible","","","taxable","1","2","","","154","","","","","","ABC-211963","Color","Brown Antique Gold","","0","Size","SMALL","","0"
"","variation","65154989","Slim Belt with Iconic Love Birds Motif","1","","visible","","","taxable","1","2","","","154","","","","","","ABC-211963","Color","Brown Antique Gold","","0","Size","XSMALL","","0"
