id,sku,name,description,generatedDescription,brand,price,originalPrice,currency,categoryId,colors,sizes,inStock,imageUrl,images,sourceUrl
"abc-212215","65155608","Jewel Brooch with Two Chains and Charm","Brooch with two fine-link chains and classic safety-cap fastening. The outermost chain is embellished with a safety pin-shaped element, two small conical charms, a pendant with LOVE lettering, a set gemstone and the iconic Love Birds logo embellished with rhinestones. Pin this brooch on a jacket or dress for an original touch, or use it to elevate a bag or backpack with that signature PINKO style.","false","PINKO","84","","USD","women-accessories-faux-bijoux","Gold","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7eeda9bb1e2.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7eeda9bb1e2.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7eedb008838.webp","https://shopwithabc.com/lb/en/product/jewel-brooch-with-two-chains-and-charm"
"abc-212102","65154993","Python-Print Leather Belt with Studs 3 cm","Women's 3 cm-wide belt in leather with bold all-over python print. This model is embellished with a row of faceted, gold-tone rectangular studs, and a metal buckle, loop and tip in the same style as the studs. An edgy, modern accessory, this one will win over animal-print lovers and more the moment they see it","false","PINKO","299","","USD","women-accessories-belts","Brown","MEDIUM|SMALL|XSMALL","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a82a43808baf.opt.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a82a43808baf.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a82a44071a26.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a82a44291341.opt.webp","https://shopwithabc.com/lb/en/product/python-print-leather-belt-with-studs-3-cm"
"abc-212099","65155692","Leather Belt with Rectangular Studs 3 cm","Women's 3 cm-wide belt in soft, silky leather. This accessory is embellished with a row of faceted rectangular studs, and a metal buckle, loop and tip in the same style as the studs. Thanks to its bold, modern design, the belt will become a go-to accessory for everyday outfits.","false","PINKO","259","","USD","women-accessories-belts","Black","MEDIUM|SMALL|XSMALL","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a82a4648252c.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a82a4648252c.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a82a46ded9bf.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a82a46ce27ed.webp","https://shopwithabc.com/lb/en/product/leather-belt-with-rectangular-studs-3-cm"
"abc-212085","65155000","Belt with Chain Insert 1.5 cm","1.5 cm-wide belt in smooth leather with tonal loop and gold-tone buckle. This accessory stands out for its chain insert—also gold-tone—consisting of slightly square-shaped rings. We all know that details are what make the difference: choose this belt to give your casual looks an original touch.","false","PINKO","179","","USD","women-accessories-belts","Black Gold","MEDIUM|SMALL|XSMALL","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a82a9ee4da94.opt.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a82a9ee4da94.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a82a9f57bf94.opt.webp","https://shopwithabc.com/lb/en/product/belt-with-chain-insert-15-cm"
"abc-212047","65155504","Check-Pattern Frayed Scarf","PINKO — Check-Pattern Frayed Scarf. Available in Redblck.","true","PINKO","219","","USD","women-accessories-gloves-and-scarves","Redblck","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9694fe8f019.webp?id=2301109","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9694fe8f019.webp?id=2301109","https://shopwithabc.com/lb/en/product/check-pattern-frayed-scarf"
"abc-212046","65155506","Soft Silk Scarf with Bag Print","Scarf made from soft silk-blend twill. This model is embellished with an all-over print featuring various PINKO bags, in a refined nod to the world of leather goods, and is complete with contrasting edges and the brand's logo lettering in the corner. An original and feminine accessory, perfect for giving your outfits a PINKO-signature finishing touch","false","PINKO","169","","USD","women-accessories-gloves-and-scarves","Blackblue","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7f02e9df498.opt.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7f02e9df498.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7f02fbe01b7.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7f02fe87014.opt.webp","https://shopwithabc.com/lb/en/product/soft-silk-scarf-with-bag-print"
"abc-212042","65155505","Scarf with Tassel Tips and Bird Pattern","Scarf featuring an all-over signature Love Birds pattern and fringed or frayed edges","false","PINKO","224","","USD","women-accessories-gloves-and-scarves","Dk Red","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7f0265e1c20.opt.webp?id=2271626","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7f0265e1c20.opt.webp?id=2271626|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7f026ce3f71.opt.webp?id=2271627","https://shopwithabc.com/lb/en/product/scarf-with-tassel-tips-and-bird-pattern"
"abc-211963","65154987","Slim Belt with Iconic Love Birds Motif","Elevate your everyday wardrobe with the timeless elegance of the PINKO Love Berry Leather Belt. Crafted from premium, smooth genuine leather in a rich burgundy hue, this slim waist accessory brings an understated touch of luxury to both casual denim and tailored silhouettes. The centerpiece features the iconic, gold-tone Love Birds plaque buckle, acting as a signature hallmark of sophisticated Italian style. Punched holes ensure a highly customizable, comfortable fit","false","PINKO","154","","USD","women-accessories-belts","Brown Antique Gold","MEDIUM|SMALL|XSMALL","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7efa22a8970.opt.webp?id=2271504","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7efa22a8970.opt.webp?id=2271504|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7efa3f0288c.opt.webp?id=2271508|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7efa3a7af73.opt.webp?id=2271506|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7efa38328a8.opt.webp?id=2271505|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7efa3ca0835.opt.webp?id=2271507","https://shopwithabc.com/lb/en/product/slim-belt-with-iconic-love-birds-motif"
"abc-211135","65131981","Equestrian Motif Silk Scarf","Graphic square silk scarf
Equestrian motif and intertwined chains
Contrasting Maje monograms
Dimensions: 90 x 90 cm
A scarf with a bold character, somewhere between a collegiate spirit and Parisian elegance.

Made from 100% silk, this square scarf features an equestrian motif combining bridles, buckles and intertwined chains. Its light blue, ecru and navy blocks of colour are punctuated with Maje monograms.","false","maje","179","","USD","women-accessories-gloves-and-scarves","Blue","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abba2880f7.opt.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abba2880f7.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abbb674fce.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abbc9254b8.opt.webp","https://shopwithabc.com/lb/en/product/equestrian-motif-silk-scarf"
"abc-182289","65156776","Brendon Beaded Buckle Belt","Signature metal and enamel moon clasp
- Width 3.5 cm
- To wear with a dress or trousers
- Leather","false","ba&sh","194","","USD","women-accessories-belts","Black","85|95","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a75bd44004ce.opt.webp?id=2242140","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a75bd44004ce.opt.webp?id=2242140|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a75bd597182f.opt.webp?id=2242141|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a75bd5b8c868.opt.webp?id=2242142|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a75bd5d4c870.opt.webp?id=2242143","https://shopwithabc.com/lb/en/product/brendon-beaded-buckle-belt"
"abc-181375","65138595","Leather Skinny Belt with Gold-Tone Heart Stud Embellishments","Slim smooth leather belt with lining

- Slim smooth leather belt
- Elegant buckle
- Decorative charms","false","CLAUDIE","159","","USD","women-accessories-belts","Black","2","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a747a3279f06.webp?id=2241735","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a747a3279f06.webp?id=2241735|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a747a3a8417c.opt.webp?id=2241736|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a747a3c41261.opt.webp?id=2241737","https://shopwithabc.com/lb/en/product/leather-skinny-belt-with-gold-tone-heart-stud-embellishments"
"abc-181373","65152174","Paisley Print Square Silk Scarf","Square silk scarf with a blue, white and black paisley pattern and floral borders

- Square scarf 65x65 cm
- Silk
- Paisley pattern
- Floral borders","false","CLAUDIE","134","","USD","women-accessories-gloves-and-scarves","Navy","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a747a58e160d.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a747a58e160d.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a747a66e9ec5.opt.webp","https://shopwithabc.com/lb/en/product/paisley-print-square-silk-scarf"
"abc-180872","65147438","Animal & Paisley Pattern Fringe Scarf","Wrap yourself in Italian glamour with a bold, contemporary twist. This Liu Jo Wool-Blend Animal-Print Scarf seamlessly combines cozy warmth with high-fashion flair. Featuring a sophisticated patchwork configuration of wild animal motifs, it balances fierce leopard spots, zebra stripes, and organic abstract patterns to create the perfect cold-weather statement piece","false","LIU.JO","99","","USD","women-accessories-gloves-and-scarves","Animalier","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a75935bdb4dd.opt.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a75935bdb4dd.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a75936a2f53d.webp","https://shopwithabc.com/lb/en/product/animal-paisley-pattern-fringe-scarf"
"abc-180871","65147456","Monogram Jacquard Knit Beanie Hat","Top off your winter wardrobe with unmatched Italian luxury. Designed to seamlessly coordinate with the matching seasonal scarf, this Liu Jo Jacqu Logo Beanie Hat blends street-style versatility with sophisticated designer charm. Featuring a striking all-over interlocking monogram pattern, it combines practical cold-weather protection with a bold visual identity","false","LIU.JO","69","","USD","women-accessories-hats-and-caps","Cammello Nero","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7594392e91e.opt.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7594392e91e.opt.webp","https://shopwithabc.com/lb/en/product/monogram-jacquard-knit-beanie-hat"
"abc-180870","65147455","All-Over Monogram Logo Jacquard Scarf","Wrap yourself in quintessential Italian luxury and contemporary design. This Liu Jo Knit Scarf combines cozy cold-weather utility with a bold, high-fashion statement. Showcasing an intricate, interlocking all-over monogram jacquard pattern, it contrasts deep black with rich camel-brown tones to provide a textured graphic look that instantly elevates any casual or formal outerwear setup","false","LIU.JO","109","","USD","women-accessories-gloves-and-scarves","Cammello Nero","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a75940d9748b.opt.webp?id=2241958","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a75940d9748b.opt.webp?id=2241958|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a75941943069.webp?id=2241959","https://shopwithabc.com/lb/en/product/all-over-monogram-logo-jacquard-scarf"
"abc-180869","65147453","Ribbed Knit Hooded Scarf with Faux Fur Trim","Dimensions: 76 x 17 cm
Long scarf with hood
Soft inner lining","false","LIU.JO","99","","USD","women-accessories-gloves-and-scarves","Burro","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7593c1e895c.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7593c1e895c.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7593d745e2c.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7593d8c7f44.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7593dae5eba.webp","https://shopwithabc.com/lb/en/product/ribbed-knit-hooded-scarf-with-faux-fur-trim"
"abc-151426","65133954","Leather Wide Interlaced Belt with Studs","Wide interlaced leather belt with laser cutouts and metal studs, featuring decorative gold-tone buckle.

Sandro Women's leather belt
Laser cutouts and interlaced leather
Decorative studs
Decorative gold-tone metal buckle
Width: approx. 4.8 cm","false","SANDRO","234","","USD","women-accessories-belts","Black","1|2|3","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a5e07ef47a2b.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a5e07ef47a2b.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a5e07fae912d.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a5e07fc01040.webp","https://shopwithabc.com/lb/en/product/leather-wide-interlaced-belt-with-studs"
"abc-151050","65147826","Leather Bustier Belt","LIU.JO — Leather Bustier Belt. Available in Nero.","true","LIU.JO","129","","USD","women-accessories-belts","Nero","LARGE|SMALL","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a5de6330f36c.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a5de6330f36c.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a5de63cade71.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a5de63ebebe9.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a5de64110972.webp","https://shopwithabc.com/lb/en/product/leather-bustier-belt"
"abc-148911","65058017","Leather Skinny Belt","LIU.JO — Leather Skinny Belt. Available in Black.","true","LIU.JO","58.8","84","USD","women-accessories","Black","SMALL","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/697c7e7be676f.opt.webp?id=185542","https://abc.heyacdn.com/abc.com.lb/public/data/products/697c7e7be676f.opt.webp?id=185542|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/697c7e82893e6.opt.webp?id=185543","https://shopwithabc.com/lb/en/product/leather-skinny-belt"
"abc-148571","65132751","Embroidered Cotton Baseball Cap","IRO — Embroidered Cotton Baseball Cap. Available in Dove, Moss Green.","true","IRO","124","","USD","women-accessories-hats-and-caps","Dove|Moss Green","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a4793db0b2ba.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a4793db0b2ba.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a4793e08453a.webp","https://shopwithabc.com/lb/en/product/embroidered-cotton-baseball-cap"
"abc-148568","65132891","Wide Leather Waist Belt with Western Buckles","IRO — Wide Leather Waist Belt with Western Buckles. Available in Black.","true","IRO","304","","USD","women-accessories-belts","Black","70|75|80","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a479373a6673.opt.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a479373a6673.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a47937b49368.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a47937d65448.opt.webp","https://shopwithabc.com/lb/en/product/wide-leather-waist-belt-with-western-buckles"
